snapshot_date,team,player,club,position,status,weight_multiplier,in_final_squad,injury,expected_return,source_url,note
2026-06-10,Brazil,Rodrygo,Real Madrid,FWD,out,0.0,no,ACL tear (knee),tournament,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,Ruled out pre-lock; key attacker
2026-06-10,Brazil,Eder Militao,Real Madrid,DEF,out,0.0,no,hamstring tear (surgery),tournament,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,Surgery required; misses tournament
2026-06-10,Brazil,Estevao,Chelsea,FWD,out,0.0,no,severe hamstring (grade 4),tournament,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,Neymar took his squad spot
2026-06-10,Brazil,Neymar,Santos,FWD,doubtful,0.5,yes,calf strain,unknown,https://talksport.com/football/world-cup/4291403/brazil-neymar-world-cup-injury-doubt-joao-pedro/,Calf issue remains a Brazil availability risk before opener
2026-06-10,Germany,Serge Gnabry,Bayern Munich,FWD,out,0.0,no,adductor/thigh,tournament,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,Out since mid-April; Musiala and Karl benefit
2026-06-10,France,Hugo Ekitike,Liverpool,FWD,out,0.0,no,Achilles,tournament,https://www.espn.com/soccer/story/_/id/48607614/world-cup-injuries-ruled-play-hugo-ekitike-rodrygo-lamine-yamal,Misses WC and part of next PL season
2026-06-10,Spain,Fermin Lopez,Barcelona,MID,out,0.0,no,broken foot (surgery),tournament,https://www.goal.com/en/lists/biggest-stars-miss-2026-world-cup-injury-suspension-selection/bltd6ff2d56ebf99a62,Around 30 goal involvements this season before injury
2026-06-10,Spain,Samu Aghehowa,Porto,FWD,out,0.0,no,ACL tear,tournament,https://www.goal.com/en/lists/biggest-stars-miss-2026-world-cup-injury-suspension-selection/bltd6ff2d56ebf99a62,Torn ACL in February
2026-06-10,Netherlands,Matthijs de Ligt,Manchester United,DEF,out,0.0,no,back surgery,tournament,https://www.goal.com/en/lists/biggest-stars-miss-2026-world-cup-injury-suspension-selection/bltd6ff2d56ebf99a62,Hoped to delay surgery; could not
2026-06-10,Japan,Takumi Minamino,Monaco,FWD,out,0.0,no,ACL rupture,tournament,https://www.fourfourtwo.com/competition/which-players-are-out-of-world-cup-2026,Injured in December
2026-06-10,Japan,Kaoru Mitoma,Brighton,FWD,out,0.0,no,injury,tournament,https://www.espn.com/soccer/story/_/id/48607614/world-cup-injuries-ruled-play-hugo-ekitike-rodrygo-lamine-yamal,Missed Japan squad through injury
2026-06-10,Spain,Lamine Yamal,Barcelona,FWD,doubtful,0.5,yes,hamstring,2026-06-15,https://www.theguardian.com/football/live/2026/jun/10/world-cup-2026-news-england-gear-up-for-friendly-infantino-warns-la-of-happy-barbarians-messi-scores-on-return-live,Training-base update: hopeful for opener but unlikely to start
2026-06-10,Argentina,Lionel Messi,Inter Miami,FWD,available,1.0,yes,muscle fatigue (recovered),available,https://www.theguardian.com/football/live/2026/jun/10/world-cup-2026-news-england-gear-up-for-friendly-infantino-warns-la-of-happy-barbarians-messi-scores-on-return-live,Played and scored in Argentina friendly; expected fully fit for opener
2026-06-10,Argentina,Cristian Romero,Tottenham,DEF,doubtful,0.5,yes,knee (season-ending Apr 12),unknown,https://www.espn.com/soccer/story/_/id/48607614/world-cup-injuries-ruled-play-hugo-ekitike-rodrygo-lamine-yamal,Racing the clock; verify squad inclusion
2026-06-10,France,Kylian Mbappe,Real Madrid,FWD,doubtful,0.5,yes,injury scare,unknown,https://www.cbc.ca/sports/soccer/worldcup/injuries-2026-fifa-world-cup-messi-mbappe-yamal-davies-9.7221543,Included; trained at Clairefontaine
2026-06-10,Croatia,Josko Gvardiol,Manchester City,DEF,doubtful,0.5,yes,long-term injury,unknown,https://www.si.com/soccer/2026-world-cup-biggest-star-players-ruled-out-injury,Battling to be fit
2026-06-10,Canada,Alphonso Davies,Bayern Munich,DEF,doubtful,0.5,yes,ACL (Mar 2025) and hamstring,unknown,https://talksport.com/football/world-cup/4311921/world-cup-2026-injury-tracker-full-squads-messi/,Recovering from hamstring issue; still doubtful for opener
2026-06-10,United States,Chris Richards,Crystal Palace,DEF,available,1.0,yes,ankle (May 17),available,https://www.theguardian.com/football/2026/jun/10/chris-richards-usmnt-world-cup-paraguay-ankle-injury,Full training participant; says he can play through pain if functional
2026-06-10,Germany,Marc-Andre ter Stegen,Girona (loan),GK,doubtful,0.5,yes,hamstring,2026-06-14,https://www.sportsmole.co.uk/football/england/world-cup/feature/world-cup-injury-list-absent-players-and-doubts_597036.html,Major doubt; verify squad inclusion
2026-06-10,France,William Saliba,Arsenal,DEF,available,1.0,yes,back (recovered),available,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,Deschamps cleared him on June 3
2026-06-10,Brazil,Raphinha,Barcelona,FWD,available,1.0,yes,hamstring (recovered),available,https://www.si.com/soccer/2026-world-cup-biggest-star-players-ruled-out-injury,Returned in May
2026-06-10,Croatia,Luka Modric,AC Milan,MID,available,1.0,yes,cheekbone fracture (operated),available,https://www.espn.com/soccer/story/_/id/48607614/world-cup-injuries-ruled-play-hugo-ekitike-rodrygo-lamine-yamal,Expected fit; could lead vs England on June 17
